column1,column2,column3,column4,column5,isFraud
87173.20330454259,-5497.4350926063935,-2043.270976263948,53.61232408469946,-346.9060849570535,0
76033.6836889916,110850.64668445251,6039.413407048664,144.14326317283792,-302.6620697919907,0
79066.49821548183,-5002.2794766145435,-7064.89986924899,136.12416545251745,-297.5694346684353,0
51376.92327837214,-3239.3418152730433,-1039.1499069913082,27.61015046344257,-344.538817312355,0
56564.258398370876,-3543.7931439554604,6247.773260695797,-91.41523693616239,-250.05049682887395,0
-18224.32590887994,1140.8153493696616,-2313.1327403151204,34.83071781405916,-10.945239393581236,0
-28971.291270467696,1819.665478054974,-1864.139223451032,21.22104946196724,-278.05716454787085,0
-32801.27848366431,2063.4236793318837,-1057.5348049426411,6.572914835707325,-296.34086134564666,0
-31399.950460887383,1977.1115029875455,-415.49530614202547,-4.261905831174117,-324.1436314472528,0
-24707.01130473302,1582.491969674117,8341.028689848437,-148.84795695272908,-388.7223194325027,0
-5114.0115301166925,342.75246350642925,7388.936338388726,-104.45962174399654,2491.150789361811,1
51215.61891433672,-92571.06555652039,-2836.078018247195,-1600.481773540502,-254.58664933668337,0
56782.65517553919,-3596.8037630336094,-6531.1306396847185,121.17182170787926,-307.9766316786238,0
-40315.821331331485,2523.4370183760666,-5327.872044062628,75.90268854165171,-260.76656948008167,0
-87296.29163535681,5503.394889153266,1267.6692422618437,-45.51683608042257,-216.01646529481513,0
41093.3195218693,-2572.536223104985,5388.466416796196,-77.4449526290014,68.51810230255322,0
72805.94436202638,-4607.937580483247,-7054.357271021784,135.3946984375513,-208.43118639894206,0
-23514.944988455263,1498.5160840275923,6874.349272476738,-91.95340637866732,2401.11809952785,0
37408.5106136915,-2381.0802470748854,-7907.879082435961,142.54714401281328,30.790085201118394,0
-5722.437790419132,368.8333768217568,2650.5052639403134,-47.489917486866815,-233.1611590630018,0
112193.11278965307,-7083.3987940652105,-5188.042512583994,114.05886521424124,-205.58931035401625,0
-33517.84626038785,2103.235430462454,-2770.700677704846,35.84360789719859,-215.0798522994679,0
-40859.65944046349,2552.6751382034536,-7019.380287467598,104.38214147114314,-251.6410320255497,0
-8861.33219911885,577.3192465469662,6069.922296367645,-106.93171439457527,-378.2057613123468,0
60170.16278696816,-3794.0796934204755,-1186.391505162338,33.87993357320965,-206.44300979993636,0
48491.21899248299,-3062.2885050985824,-1975.5228433483812,56.05300261639109,1328.9281796678913,0
79899.10652329854,112044.01960472309,-130.14114944526204,262.4804605846314,-262.32274272612733,0
100628.4909403776,-95807.1022385624,-8413.064254436656,-1658.7828471131854,-384.3159460876887,0
-24419.081560932667,1565.0334172954758,8595.85718052043,-151.85597211072397,-224.22368908034275,0
